timestamp,open,high,low,close,volume
1609666200000,2.26420000,2.27230000,2.16010000,2.22540000,219300.36000000
1609667100000,2.22580000,2.22770000,2.13580000,2.15560000,133311.82000000
1609668000000,2.15660000,2.22610000,2.15460000,2.19640000,77475.95000000
1609668900000,2.19430000,2.19950000,2.15210000,2.15990000,45233.93000000
1609669800000,2.16000000,2.20660000,2.13740000,2.19000000,74581.88000000
1609670700000,2.18980000,2.26000000,2.18980000,2.22000000,55719.17000000
1609671600000,2.22000000,2.28800000,2.21140000,2.28020000,73947.78000000
1609672500000,2.28260000,2.38000000,2.27030000,2.35860000,282460.36000000
1609673400000,2.35800000,2.37600000,2.27890000,2.30150000,176477.69000000
1609674300000,2.30030000,2.31300000,2.24410000,2.26570000,93430.04000000
1609675200000,2.26570000,2.33840000,2.26080000,2.27920000,101923.45000000
1609676100000,2.28160000,2.31990000,2.26900000,2.28540000,69736.71000000
1609677000000,2.28620000,2.31810000,2.23530000,2.25710000,90879.13000000
1609677900000,2.25700000,2.25990000,2.24200000,2.24650000,47220.81000000
1609678800000,2.24650000,2.25900000,2.20070000,2.20070000,105838.50000000
1609679700000,2.20730000,2.20740000,2.12820000,2.14370000,188841.88000000
1609680600000,2.14980000,2.16050000,2.07700000,2.11150000,264210.57000000
1609681500000,2.11150000,2.14970000,2.07710000,2.09520000,172492.75000000
1609682400000,2.09450000,2.12100000,2.06420000,2.08390000,109154.11000000
1609683300000,2.07770000,2.09670000,2.02520000,2.02530000,153469.43000000
1609684200000,2.03000000,2.08590000,2.00000000,2.08040000,278118.02000000
1609685100000,2.08030000,2.09000000,1.99890000,2.06200000,152466.77000000
1609686000000,2.06200000,2.09120000,2.05000000,2.06860000,71870.81000000
1609686900000,2.06850000,2.10000000,2.02790000,2.02790000,103906.41000000
1609687800000,2.02740000,2.05710000,1.98930000,2.04360000,68193.31000000
1609688700000,2.04420000,2.08020000,2.04000000,2.07420000,53673.72000000
1609689600000,2.07400000,2.11070000,2.05870000,2.06050000,119077.35000000
1609690500000,2.06370000,2.09580000,2.05910000,2.07350000,69036.47000000
1609691400000,2.07290000,2.08570000,2.02360000,2.04750000,77061.12000000
